ProFILE,NAME,Cost,Weight,Size,Power PID,Power Type,Charges,Shoot Thru [Flag],Light Thru [Flag],
00000416.pro,Empty Jet Canister,0,0,1,,,-858993460,True,True,
00000417.pro,Oxygen Tank,20,5,3,,,-858993460,True,True,
00000418.pro,Poison Tank,0,5,3,,,-858993460,True,True,
00000419.pro,Mine Parts,0,10,1,,,-858993460,True,True,
00000420.pro,Morningstar Mine Scrip,1,0,1,,,-858993460,True,True,
00000422.pro,Excavator Chip,50,1,1,,,-858993460,True,True,
00000428.pro,Medical Supplies,50,25,2,,,-858993460,True,True,
00000429.pro,Gold Tooth,50,0,1,,,-1,True,True,
00000430.pro,Howitzer Shell,20,40,3,,,168652658,True,True,
00000431.pro,Ramirez Box, Closed,500,2,1,,,687931399,True,True
00000432.pro,Ramirez Box, Open,0,2,1,,,704708615,True,True
00000433.pro,Mirrored Shades,20,1,1,,,-456128247,True,True,
00000436.pro,Deck of Cards,2,1,1,,,497228230,True,True,
00000437.pro,Pack of Marked Cards,1,1,1,,,755040263,True,True,
00000439.pro,Pocket Lint,0,0,1,,,168652658,True,True,
00000440.pro,Bio Med Gel,0,1,1,,,822149127,True,True,
00000441.pro,Blondie's Dog Tags,0,0,1,,,33686018,True,True,
00000442.pro,Angel-Eyes' Dog Tags,0,0,1,,,1129467984,True,True,
00000443.pro,Tuco's Dog Tags,0,0,1,,,12136484,True,True,
00000444.pro,Raiders Map,0,1,1,,,65664,True,True,
00000445.pro,Sheriff's Badge,5,1,1,,,24876048,True,True,
00000446.pro,Vertibird Plans,0,0,1,,,168652658,True,True,
00000447.pro,Bishop's Holodisk,50,1,1,,,889257991,True,True,
00000448.pro,Account Book,0,2,1,,,15940512,True,True,
00000449.pro,Unused,0,1,1,,,168652658,True,True,
00000450.pro,Torn Paper 1,0,0,1,,,168652658,True,True,
00000451.pro,Torn Paper 2,0,0,1,,,922812423,True,True,
00000452.pro,Torn Paper 3,0,0,1,,,939589639,True,True,
00000453.pro,Password Paper,0,0,1,,,-456128247,True,True,
00000454.pro,Explosive Switch,0,5,1,,,1882076213,True,True,
00000457.pro,Hubologist Field Report,0,1,1,,,12400376,True,True,
00000458.pro,M.B. Holodisk 5,50,1,1,,,27918392,True,True,
00000459.pro,M.B. Holodisk 1,50,1,1,,,27918392,True,True,
00000460.pro,M.B. Holodisk 2,50,1,1,,,27918392,True,True,
00000461.pro,M.B. Holodisk 3,50,1,1,,,27918392,True,True,
00000462.pro,M.B. Holodisk 4,50,1,1,,,101058054,True,True,
00000463.pro,Evacuation Holodisk,50,1,1,,,27918392,True,True,
00000464.pro,Experiment Holodisk,50,1,1,,,27918392,True,True,
00000465.pro,Medical Holodisk,50,1,1,,,27918392,True,True,
00000466.pro,Password Paper,5,1,1,,,27918392,True,True,
00000468.pro,Smitty's Meal,0,3,1,,,858796080,True,True,
00000470.pro,Ball Gag,20,2,1,,,0,True,True,
00000471.pro,The Lavender Flower,0,2,1,,,168652658,True,True,
00000472.pro,Hubologist Holodisk,50,1,1,,,65664,True,True,
00000474.pro,Daisies,0,5,1,,,858796080,True,True,
00000475.pro,Unused,0,0,1,,,1258291207,True,True,
00000476.pro,Enlightened One's Letter,0,0,1,,,26063448,True,True,
00000477.pro,Broadcast Holodisk,50,1,1,,,1308688391,True,True,
00000478.pro,Sierra Mission Holodisk,50,1,1,,,1258291207,True,True,
00000479.pro,NavCom Parts,0,1,1,,,168652658,True,True,
00000483.pro,Fallout 2 Hintbook,0,0,1,,,168652658,True,True,
00000484.pro,Player's Ear,0,0,1,,,858796080,True,True,
00000485.pro,Masticator's Ear,750,0,1,,,-1,True,True,
00000487.pro,Note from Francis,0,0,1,,,12732588,True,True,
00000488.pro,K-9 Motivator,50,20,3,,,12917412,True,True,
00000490.pro,NCR History Holodisk,50,1,1,,,838926642,True,True,
00000491.pro,Mr. Nixon Doll,0,0,1,,,-1,True,True,
00000492.pro,Tanker Fob,0,0,1,,,1510014983,True,True,
00000493.pro,Teachings Holodisk,50,1,1,,,-1,True,True,
00000494.pro,Kokoweef Mine Scrip,1,0,1,,,168652658,True,True,
00000495.pro,Presidential Access Key,0,0,1,,,12792116,True,True,
00000499.pro,Pip Boy Lingual Enhancer,200,8,2,,,26476600,True,True,
00000503.pro,Blue Memory Module,0,0,1,,,754048590,True,True,
00000504.pro,Green Memory Module,0,0,1,,,1610678279,True,True,
00000505.pro,Red Memory Module,0,0,1,,,1627455495,True,True,
00000506.pro,Yellow Memory Module,0,0,1,,,26801016,True,True,
00000507.pro,Decomposing Body,0,125,10,,,-456128247,True,True,
00000508.pro,Rubber Doll,50,20,5,,,0,True,True,
00000509.pro,Damaged Rubber Doll,0,20,5,,,0,True,True,
00000516.pro,Pip Boy Medical Enhancer,200,8,2,,,695727660,True,True,
00000519.pro,Bottle Caps,0,0,1,,,1761673223,True,True,
00000523.pro,Survey Map,0,0,1,,,168652658,True,True,
